id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,Fiction
PG146,A Little Princess: Being the whole story of Sara Crewe now told for the first time,"Burnett, Frances Hodgson",1849.0,1924.0,['en'],1428.0,"{'Boarding schools -- Fiction', 'Schools -- Fiction', 'London (England) -- Fiction', 'Orphans -- Fiction'}",Text,1
PG149,The Lost Continent,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],186.0,"{'Fantasy fiction', 'England -- Fiction', 'Science fiction'}",Text,1
PG152,Wild Justice,"Sprague, Ruth M.",,,['en'],16.0,"{'Sex discrimination -- Fiction', 'Universities and colleges -- Fiction'}",Text,1
PG153,Jude the Obscure,"Hardy, Thomas",1840.0,1928.0,['en'],705.0,"{'Stonemasons -- Fiction', 'Love stories', 'Wessex (England) -- Fiction', 'Illegitimate children -- Fiction', 'Didactic fiction', 'Children -- Death -- Fiction', 'Adultery -- Fiction', 'Unmarried couples -- Fiction'}",Text,1
PG154,The Rise of Silas Lapham,"Howells, William Dean",1837.0,1920.0,['en'],262.0,"{'Socialites -- Fiction', 'Domestic fiction', 'Businessmen -- Fiction', 'Psychological fiction', 'Boston (Mass.) -- Fiction', 'Rich people -- Fiction'}",Text,1
PG155,The Moonstone,"Collins, Wilkie",1824.0,1889.0,['en'],1515.0,"{'Mystery fiction', 'East Indians -- England -- Fiction', 'Police -- England -- Fiction', 'England -- Fiction', 'Country homes -- Fiction', 'Jewelry theft -- Fiction'}",Text,1
PG157,Daddy-Long-Legs,"Webster, Jean",1876.0,1916.0,['en'],588.0,"{'Boarding schools -- Fiction', 'Schools -- Fiction', 'Bildungsromans', 'Philanthropists -- Fiction', 'Love stories', 'Women college students -- Fiction', 'Universities and colleges -- Fiction', 'Women authors -- Fiction', 'Epistolary fiction', 'Young women -- Fiction', 'Letters -- Fiction', 'Orphans -- Fiction'}",Text,1
PG158,Emma,"Austen, Jane",1775.0,1817.0,['en'],7791.0,"{'Female friendship -- Fiction', 'Bildungsromans', 'Humorous stories', 'Fathers and daughters -- Fiction', 'Love stories', 'England -- Fiction', 'Mate selection -- Fiction', 'Young women -- Fiction'}",Text,1
PG159,The Island of Doctor Moreau,"Wells, H. G. (Herbert George)",1866.0,1946.0,['en'],1202.0,"{'Islands -- Fiction', 'Shipwreck survival -- Fiction', 'Animal experimentation -- Fiction', 'Science fiction'}",Text,1
PG160,"The Awakening, and Selected Short Stories","Chopin, Kate",1850.0,1904.0,['en'],2155.0,"{'Louisiana -- Social life and customs -- Fiction', 'Self-actualization (Psychology) -- Fiction', 'New Orleans (La.) -- Fiction', 'Women -- Louisiana -- New Orleans -- Social conditions -- Fiction', 'Adultery -- Fiction'}",Text,1
PG161,Sense and Sensibility,"Austen, Jane",1775.0,1817.0,['en'],4472.0,"{'Regency fiction', 'Gentry -- England -- Fiction', 'Domestic fiction', 'Social classes -- Fiction', 'Sisters -- Fiction', 'Love stories', 'England -- Fiction', 'Inheritance and succession -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Young women -- Fiction', 'Mate selection -- Fiction'}",Text,1
PG164,Twenty Thousand Leagues under the Sea,"Verne, Jules",1828.0,1905.0,['en'],1504.0,"{'Underwater exploration -- Fiction', 'Science fiction', 'Sea stories', 'Submarines (Ships) -- Fiction'}",Text,1
PG165,McTeague: A Story of San Francisco,"Norris, Frank",1870.0,1902.0,['en'],184.0,"{'Married people -- Fiction', 'Murderers -- Fiction', 'San Francisco (Calif.) -- Fiction', 'Avarice -- Fiction', 'Dentists -- Fiction', 'Didactic fiction', 'Psychological fiction'}",Text,1
PG166,Summer,"Wharton, Edith",1862.0,1937.0,['en'],160.0,"{'Berkshire Hills (Mass.) -- Fiction', 'Love stories', 'Man-woman relationships -- Fiction', 'Young women -- Fiction', 'Guardian and ward -- Fiction'}",Text,1
PG169,The Well at the World's End: A Tale,"Morris, William",1834.0,1896.0,['en'],249.0,"{'Quests (Expeditions) -- Fiction', 'Fantasy fiction'}",Text,1
PG170,The Haunted Hotel: A Mystery of Modern Venice,"Collins, Wilkie",1824.0,1889.0,['en'],113.0,"{'Detective and mystery stories', 'Hotels -- Fiction', 'Venice (Italy) -- Fiction'}",Text,1
PG171,Charlotte Temple,"Rowson, Mrs.",1762.0,1824.0,['en'],205.0,"{'Teenage girls -- Fiction', 'Teenage pregnancy -- Fiction', 'Seduction -- Fiction', 'British -- New York (State) -- New York -- Fiction', 'Elopement -- Fiction', 'Illegitimate children -- Fiction', 'Didactic fiction', 'Runaway teenagers -- Fiction', 'Betrayal -- Fiction', 'New York (N.Y.) -- Fiction', 'Psychological fiction', 'Soldiers -- Fiction'}",Text,1
PG172,The Haunted Bookshop,"Morley, Christopher",1890.0,1957.0,['en'],169.0,"{'Booksellers and bookselling -- Fiction', 'Brooklyn (New York, N.Y.) -- Fiction', 'Mystery and detective stories'}",Text,1
PG173,The Insidious Dr. Fu Manchu,"Rohmer, Sax",1883.0,1959.0,['en'],218.0,"{'Detective and mystery stories', 'Criminals -- Fiction', 'Fu Manchu, Doctor (Fictitious character) -- Fiction'}",Text,1
PG174,The Picture of Dorian Gray,"Wilde, Oscar",1854.0,1900.0,['en'],7515.0,"{'Supernatural -- Fiction', 'Didactic fiction', 'Conduct of life -- Fiction', 'Appearance (Philosophy) -- Fiction', 'London (England) -- History -- 1800-1950 -- Fiction', 'Portraits -- Fiction', 'Great Britain -- History -- Victoria, 1837-1901 -- Fiction', 'Paranormal fiction'}",Text,1
PG175,The Phantom of the Opera,"Leroux, Gaston",1868.0,1927.0,['en'],1020.0,"{'Paris (France) -- Fiction', 'Musical fiction', 'Opera -- Fiction', 'Horror tales', 'French fiction -- Translations into English', 'Composers -- Fiction', 'Phantom of the Opera (Fictitious character) -- Fiction'}",Text,1
PG176,Roderick Hudson,"James, Henry",1843.0,1916.0,['en'],59.0,"{'Rome (Italy) -- Fiction', 'Sculptors -- Fiction', 'Man-woman relationships -- Fiction', 'Americans -- Italy -- Fiction'}",Text,1
PG177,The American,"James, Henry",1843.0,1916.0,['en'],153.0,"{'Paris (France) -- Fiction', 'Aristocracy (Social class) -- Fiction', 'Culture conflict -- Fiction', 'Love stories', 'Separation (Psychology) -- Fiction', 'Courtship -- Fiction', 'Americans -- France -- Fiction', 'Widows -- Fiction', 'Psychological fiction'}",Text,1
PG178,Confidence,"James, Henry",1843.0,1916.0,['en'],31.0,"{'Americans -- Europe -- Fiction', 'British -- Europe -- Fiction', 'Male friendship -- Fiction', 'Man-woman relationships -- Fiction'}",Text,1
PG179,The Europeans,"James, Henry",1843.0,1916.0,['en'],73.0,"{'Domestic fiction', 'Humorous stories', 'Upper class -- Fiction', 'Europeans -- United States -- Fiction', 'Boston (Mass.) -- Fiction', 'Brothers and sisters -- Fiction'}",Text,1
PG203,Uncle Tom's Cabin,"Stowe, Harriet Beecher",1811.0,1896.0,['en'],2328.0,"{'Slavery -- Fiction', 'Fugitive slaves -- Fiction', 'Slaves -- Fiction', 'Political fiction', 'Southern States -- Fiction', 'Master and servant -- Fiction', 'Didactic fiction', 'African Americans -- Fiction', 'Uncle Tom (Fictitious character) -- Fiction', 'Plantation life -- Fiction'}",Text,1
PG204,The Innocence of Father Brown,"Chesterton, G. K. (Gilbert Keith)",1874.0,1936.0,['en'],1081.0,"{'Brown, Father (Fictitious character) -- Fiction', 'Catholics -- Fiction', 'England -- Fiction', 'Detective and mystery stories, English', 'Clergy -- Fiction'}",Text,1
